법정동,지번,아파트이름,전용면적,계약년도,계약월,계약일,거래금액(만원),건축년도
병점동,866,다정마을신한에스빌1차,84.8819,2020,1,23,"19,800",2005
능동,1039,서동탄역우남퍼스트빌아파트,84.2119,2020,1,23,"20,500",2002
병점동,817,병점역센트럴허브시티,59.997,2020,1,31,"22,000",2004
반송동,135,솔빛마을쌍용예가,78.7193,2020,1,28,"42,700",2007
봉담읍 와우리,602,봉담한신더휴에듀파크,59.9708,2020,1,4,"27,500",2019
병점동,282,남수원두산,84.9,2020,1,22,"21,000",2000
병점동,819,안화동마을주공9단지,75.79,2020,1,4,"22,500",2005
봉담읍 와우리,597,봉담센트럴푸르지오,84.7594,2020,1,4,"30,500",2017
반송동,224,동탄나루마을동탄역U.BORA여울숲1.0,84.6841,2020,1,22,"43,000",2007
능동,1134,포스코더샵2차,76.1565,2020,1,17,"33,000",2008
진안동,908,진안골마을주공10단지,59.56,2020,1,22,"18,400",2004
능동,1131,자연앤데시앙,59.52,2020,1,22,"27,400",2008
반송동,75,동탄시범다은마을센트럴파크뷰,81.512,2020,1,29,"31,700",2008
능동,1134,포스코더샵2차,76.5336,2020,1,16,"32,500",2008
반송동,100,시범다은마을삼성래미안,84.6098,2020,1,20,"54,000",2007
반송동,100,시범다은마을삼성래미안,84.6098,2020,1,29,"53,900",2007
청계동,520,동탄역 시범한화 꿈에그린 프레스티지,84.51,2020,1,20,"95,000",2015
병점동,820,안화동마을주공5단지,84.87,2020,1,23,"23,100",2004
병점동,866,다정마을신한에스빌1차,84.8819,2020,1,23,"22,000",2005
반송동,141,동탄센트럴포레스트,74.73,2020,1,14,"31,000",2009
병점동,820,안화동마을주공5단지,84.87,2020,1,22,"22,850",2004
청계동,556,동탄역 더 힐,84.5202,2020,1,28,"48,000",2017
청계동,547,동탄역신안인스빌리베라2차,59.968,2020,1,30,"44,000",2016
병점동,817,병점역센트럴허브시티,59.997,2020,1,29,"22,800",2004
향남읍 행정리,480,향남시범살구꽃마을풍림아이원,84.8578,2020,1,18,"25,000",2008
청계동,547,동탄역신안인스빌리베라2차,59.968,2020,1,15,"43,100",2016
반송동,224,동탄나루마을동탄역U.BORA여울숲1.0,76.7822,2020,1,21,"36,000",2007
반월동,960,e편한세상반월나노시티역,75.44,2020,1,31,"45,500",2017
반송동,135,솔빛마을쌍용예가,84.9794,2020,1,29,"44,500",2007
병점동,849,안화동마을주공7단지,59.92,2020,1,22,"19,400",2004
봉담읍 수영리,672,한울마을신창비바패밀리1단지,84.7816,2020,1,31,"21,000",2008
진안동,911,진안골마을주공11단지,84.99,2020,1,23,"23,500",2004
